PID,Detail,Pad area,Pad width,Pad height,Mark area,Mark area ratio,Edge distance(Left),Edge distance(Right),Edge distance(Up),Edge distance(Down),Distance between center(X),Distance between center(Y),result
1,0,3824.16,61.83,62.1,118.47,3.1,31.825,20.875,31.58,18.59,5.475,6.495,0
2,0,3837.65,62.17,62.07,139.47,3.63,24.575,28.095,28.685,18.965,-1.76,4.86,0
3,0,3935.13,62.12,62.13,161.96,4.12,27.76,23.71,26.995,19.355,2.025,3.82,0
4,0,3827.16,62.02,62.09,142.47,3.72,27.16,23.09,31.175,17.465,2.035,6.855,0
5,0,3848.15,62.06,62.49,145.47,3.78,22.03,29.44,27.235,20.415,-3.705,3.41,0
6,0,3831.66,62.04,62.23,142.47,3.72,27.34,24.1,31.035,17.695,1.62,6.67,0
7,0,3837.65,62.09,62.54,134.97,3.52,26.815,25.615,27.07,19.51,0.6,3.78,0
8,0,3891.64,62.41,62.22,128.97,3.31,26.445,26.025,28.84,20.95,0.21,3.945,0
9,0,3912.64,62.11,62.71,125.97,3.22,25.405,27.305,30.895,17.935,-0.95,6.48,0
10,0,3843.65,61.93,62.31,137.97,3.59,26.565,25.845,29.845,17.705,0.36,6.07,0
11,0,3882.64,62.23,62.07,127.47,3.28,24.005,28.605,26.925,20.835,-2.3,3.045,0
12,0,3882.64,62.19,62.35,134.97,3.48,26.755,25.735,28.835,18.415,0.51,5.21,0
13,0,3861.65,62.29,62.08,134.97,3.5,24.915,27.635,26.88,20.73,-1.36,3.075,0
14,0,3891.64,62.07,62.21,131.97,3.39,30.085,22.285,30.945,17.615,3.9,6.665,0
15,0,3917.14,61.98,62.6,130.47,3.33,28.05,24.48,26.51,21.97,1.785,2.27,0
16,0,3951.63,62.16,62.35,122.97,3.11,24.38,27.97,28.365,20.555,-1.795,3.905,0
17,0,3861.65,62.04,62.27,133.47,3.46,25.92,26.27,29.085,18.725,-0.175,5.18,0
18,0,3861.65,62.22,62.19,125.97,3.26,22.99,29.23,26.335,22.215,-3.12,2.06,0
19,0,3831.66,62.13,62.35,125.97,3.29,25.895,26.355,29.585,19.195,-0.23,5.195,0
20,0,3893.14,62.26,62.51,137.97,3.54,24.13,27.21,28.655,20.275,-1.54,4.19,0
21,0,3930.63,62.45,62.17,118.47,3.01,25.105,27.395,27.885,21.715,-1.145,3.085,0
22,0,3963.63,62.4,62.54,121.47,3.06,23.17,29.33,27.95,20.68,-3.08,3.635,0
23,0,3836.16,62.09,62.47,124.47,3.24,28.525,23.995,30.135,18.405,2.265,5.865,0
24,0,3855.65,62.22,62.12,136.47,3.54,28.64,23.9,26.16,21.07,2.37,2.545,0
25,0,3912.64,62.39,62.36,125.97,3.22,30.605,21.785,29.28,19.58,4.41,4.85,0
26,0,3896.14,62.43,62.52,113.97,2.93,25.475,26.965,29.74,19.84,-0.745,4.95,0
27,0,3894.64,62.34,62.32,134.97,3.47,25.63,25.85,27.1,20.57,-0.11,3.265,0
28,0,3866.15,62.26,62.35,122.97,3.18,25.33,26.14,30.005,19.235,-0.405,5.385,0
29,0,3893.14,62.35,62.27,125.97,3.24,28.765,24.795,27.465,20.075,1.985,3.695,0
30,0,3890.14,62.44,62.2,127.47,3.28,23.07,29.47,27.95,19.8,-3.2,4.075,0
31,0,3897.64,62.34,62.53,124.47,3.19,26.55,25.86,28.565,20.075,0.345,4.245,0
32,0,3845.15,61.89,62.58,118.47,3.08,27.355,25.285,28.33,19.28,1.035,4.525,0
33,0,3894.64,62.39,62.27,115.47,2.96,27.385,25.885,28.775,20.255,0.75,4.26,0
34,0,3881.15,62.62,62.32,112.48,2.9,23.41,29.24,27.54,21.32,-2.915,3.11,0
35,0,3893.14,62.46,62.35,121.47,3.12,29.21,23.42,27.995,20.815,2.895,3.59,0
36,0,3891.64,62.58,62.44,113.97,2.93,27.29,25.17,29.82,19.78,1.06,5.02,0
37,0,3893.14,62.41,62.66,101.98,2.62,28.805,23.755,28.22,21.54,2.525,3.34,0
38,0,3912.64,62.1,62.74,106.48,2.72,25.49,27.95,28.05,21.37,-1.23,3.34,0
39,0,3960.63,62.44,62.63,121.47,3.07,30.28,22.13,29.195,19.825,4.075,4.685,0
40,0,3897.64,62.44,62.51,107.98,2.77,25.26,27.04,27.615,22.395,-0.89,2.61,0
41,0,3900.64,62.54,62.33,118.47,3.04,25.38,27.02,28.325,20.315,-0.82,4.005,0
42,0,3924.64,61.89,63.05,109.48,2.79,26.325,27.335,28.685,20.485,-0.505,4.1,0
43,0,3857.15,62.41,62.18,109.48,2.84,27.125,25.445,28.86,20,0.84,4.43,0
44,0,3891.64,62.44,62.17,119.97,3.08,24.86,28.73,28.595,18.955,-1.935,4.82,0
45,0,3897.64,62.32,62.59,119.97,3.08,27.85,24.7,28.305,20.505,1.575,3.9,0
46,0,3944.13,62.14,62.59,101.98,2.59,29.34,24.43,29.065,20.735,2.455,4.165,0
47,0,3899.14,62.02,62.48,112.48,2.88,30,23.28,27.2,21.71,3.36,2.745,0
48,6,3696.69,62.53,62.75,358.42,9.7,-1.015,25.445,29.885,-0.125,-13.23,15.005,1
49,0,3902.14,62.66,62.33,110.98,2.84,24.31,29.24,27.585,21.445,-2.465,3.07,0
50,0,3896.14,62.45,62.55,116.97,3,28.455,24.905,28.875,19.765,1.775,4.555,0
51,0,3896.14,62.63,62.38,104.98,2.69,30.125,23.505,27.36,21.67,3.31,2.845,0
52,0,3896.14,62.54,62.32,115.47,2.96,29.16,23.24,27.37,22.54,2.96,2.415,0
53,0,3899.14,62.5,62.5,112.48,2.88,27.69,24.7,29.55,20.31,1.495,4.62,0
54,0,3909.64,62.23,62.51,115.47,2.95,28.455,23.945,28.125,21.795,2.255,3.165,0
55,0,3840.65,62.09,62.88,109.48,2.85,27.155,26.245,29.68,18.96,0.455,5.36,0
56,0,3899.14,62.7,62.38,113.97,2.92,25.94,27.72,27.96,19.85,-0.89,4.055,0
57,6,3926.14,61.99,63.03,241.45,6.15,29.925,6.335,28.955,-0.265,11.795,14.61,1
58,0,3966.63,62.58,62.68,112.48,2.84,26.63,25.91,28.24,20.59,0.36,3.825,0
59,0,3905.14,62.44,62.65,97.48,2.5,28.16,26.47,26.985,20.755,0.845,3.115,0
60,0,3962.13,62.46,62.64,118.47,2.99,25.32,27.2,26.75,22.01,-0.94,2.37,0
61,0,3879.65,62.35,62.62,103.48,2.67,27.545,25.455,29.64,21.04,1.045,4.3,0
62,0,3899.14,62.45,62.73,107.98,2.77,22.905,29.745,26.225,22.245,-3.42,1.99,0
63,0,3888.64,62.65,62.51,110.98,2.85,27.265,26.295,28.215,20.485,0.485,3.865,0
64,0,3965.13,62.38,62.88,124.47,3.14,26.38,26.24,28.79,19.63,0.07,4.58,0
65,0,3884.14,62.42,62.71,112.48,2.9,29.13,23.37,28.655,20.755,2.88,3.95,0
66,0,3912.64,62.76,62.41,115.47,2.95,19.69,33.61,27.675,21.365,-6.96,3.155,0
67,0,3897.64,62.69,62.74,110.98,2.85,28.695,23.785,30.56,18.89,2.455,5.835,0
68,0,3918.64,62.53,62.66,113.97,2.91,26.775,26.945,29.37,18.8,-0.085,5.285,0
69,0,3954.63,62.49,62.72,94.48,2.39,29.875,23.755,28.19,21.96,3.06,3.115,0
70,0,3957.63,62.22,62.76,104.98,2.65,28.82,24.6,28.47,20.71,2.11,3.88,0
71,0,3884.14,62.53,62.55,104.98,2.7,23.635,28.875,28.785,20.245,-2.62,4.27,0
72,0,3965.13,62.13,62.97,109.48,2.76,25.125,28.025,29.845,20.155,-1.45,4.845,0
73,0,3912.64,62.72,62.66,113.97,2.91,27.1,26.49,29.63,19.04,0.305,5.295,0
74,0,3944.13,62.26,62.72,106.48,2.7,26.62,26.08,27.74,22.18,0.27,2.78,0
75,0,3894.64,62.65,62.56,106.48,2.73,27.735,24.555,29.93,19.64,1.59,5.145,0
76,0,3899.14,62.68,62.63,113.97,2.92,26.1,26.43,27.545,21.435,-0.165,3.055,0
77,0,3905.14,62.2,62.89,107.98,2.76,25.94,26.73,28.635,20.495,-0.395,4.07,0
78,0,3882.64,62.54,62.51,107.98,2.78,27.02,26.38,28.745,20.835,0.32,3.955,0
79,0,3954.63,62.24,62.93,101.98,2.58,27.22,27.27,28.835,19.565,-0.025,4.635,0
80,0,3885.64,62.57,62.68,109.48,2.82,25.625,28.775,28.42,19.68,-1.575,4.37,0
81,0,3896.14,62.45,62.66,101.98,2.62,27.985,24.605,27.46,22.43,1.69,2.515,0
82,0,3896.14,62.55,62.56,110.98,2.85,27.555,24.945,28.37,21.11,1.305,3.63,0
83,0,3900.64,62.03,63.14,106.48,2.73,29.285,23.225,28.73,21.16,3.03,3.785,0
84,0,3957.63,62.25,62.9,103.48,2.61,23.225,29.045,26.69,24.28,-2.91,1.205,0
85,0,3896.14,62.51,62.7,109.48,2.81,27.795,25.785,27.91,20.9,1.005,3.505,0
86,0,3908.14,62.71,62.74,115.47,2.95,26.645,26.395,29.16,20.06,0.125,4.55,0
87,0,3894.64,61.8,63.14,103.48,2.66,29.31,25.28,27.74,20.79,2.015,3.475,0
88,0,3963.63,62.4,62.59,94.48,2.38,25.08,29.22,28.115,22.135,-2.07,2.99,0
89,0,3900.64,62.6,62.67,106.48,2.73,27.52,25.98,27.265,21.195,0.77,3.035,0
90,0,3920.14,62.39,62.67,106.48,2.72,24.265,28.445,28.345,20.565,-2.09,3.89,0
91,0,3927.63,62.47,62.67,106.48,2.71,28.855,23.645,27.255,21.625,2.605,2.815,0
92,0,3950.13,62.05,62.98,103.48,2.62,26.225,27.905,28.28,20.72,-0.84,3.78,0
93,0,3855.65,62.22,62.63,109.48,2.84,24.27,29.29,28.675,19.915,-2.51,4.38,0
94,0,3908.14,62.27,62.8,112.48,2.88,23.695,28.815,29.11,20.25,-2.56,4.43,0
95,0,3965.13,62.32,62.83,115.47,2.91,27.11,26.33,28.105,19.525,0.39,4.29,0
96,0,3966.63,61.93,63.08,94.48,2.38,27.555,26.865,28.97,20.27,0.345,4.35,0
97,0,3896.14,62.51,62.52,112.48,2.89,24.345,28.275,28.75,21.16,-1.965,3.795,0
98,0,3897.64,62.77,62.69,103.48,2.65,26.225,26.475,28.495,22.285,-0.125,3.105,0
99,0,3957.63,62.52,62.91,110.98,2.8,25.46,28.82,26.315,21.955,-1.68,2.18,0
100,0,3954.63,61.91,62.81,106.48,2.69,27.565,25.915,26.625,21.665,0.825,2.48,0
101,0,3914.14,62.28,62.78,103.48,2.64,24.89,28.71,28.02,21.73,-1.91,3.145,0
102,0,3834.66,61.84,62.77,104.98,2.74,26.82,26.76,28.185,20.855,0.03,3.665,0
103,0,3897.64,62.45,62.68,95.98,2.46,25.045,28.095,25.33,24.92,-1.525,0.205,0
104,0,3882.64,62.49,62.67,104.98,2.7,24.385,28.845,27.325,22.225,-2.23,2.55,0
105,0,3963.63,62.29,62.91,107.98,2.72,25.465,27.235,26.505,22.855,-0.885,1.825,0
106,0,3896.14,61.79,63,97.48,2.5,23.175,30.055,27.6,21.99,-3.44,2.805,0
107,0,3897.64,62.14,62.78,104.98,2.69,25.23,28.19,27.84,20.82,-1.48,3.51,0
108,0,3897.64,62.51,62.54,112.48,2.89,23.795,28.765,27.32,21.36,-2.485,2.98,0
109,0,3906.64,62.15,62.89,106.48,2.73,25.835,27.815,27.715,21.025,-0.99,3.345,0
110,0,3879.65,61.73,62.88,97.48,2.51,24.245,30.165,26.48,21.85,-2.96,2.315,0
111,0,3969.63,62.27,63.02,107.98,2.72,26.405,26.275,27.45,21.57,0.065,2.94,0
112,0,3897.64,62.58,62.91,95.98,2.46,24.22,29.45,29.555,18.995,-2.615,5.28,0
113,0,3903.64,62.74,62.92,100.48,2.57,28.13,25.55,27.69,21.02,1.29,3.335,0
114,0,3950.13,62.56,63.08,110.98,2.81,24.59,28.67,25.97,22.99,-2.04,1.49,0
115,0,3965.13,61.99,63.4,100.48,2.53,21.385,32.965,29.22,19.65,-5.79,4.785,0
116,0,3879.65,62.45,62.44,109.48,2.82,26.615,26.435,28.03,21.54,0.09,3.245,0
117,0,3888.64,61.66,63.06,106.48,2.74,28.22,25.48,28.58,20.72,1.37,3.93,0
118,0,3966.63,62.23,62.85,100.48,2.53,25.495,27.205,26.685,23.105,-0.855,1.79,0
119,0,3831.66,62.02,62.56,89.98,2.35,25.42,27.69,29.13,22.86,-1.135,3.135,0
120,0,3966.63,62.28,62.73,106.48,2.68,25.38,28.41,26.665,21.625,-1.515,2.52,0
121,0,3893.14,62.39,62.69,103.48,2.66,27.435,26.015,26.975,22.075,0.71,2.45,0
122,0,3936.63,62.32,63.04,110.98,2.82,28.05,25.74,26.95,21.83,1.155,2.56,0
123,0,3897.64,62.44,62.72,97.48,2.5,27.6,25.93,27.39,21.24,0.835,3.075,0
124,0,3924.64,62.27,62.68,95.98,2.45,26.355,26.275,29.67,22.82,0.04,3.425,0
125,0,3966.63,62.17,62.88,77.98,1.97,27.455,26.195,26.95,24.52,0.63,1.215,0
126,0,3854.15,62.36,62.82,109.48,2.84,24.45,28.89,27.08,22.39,-2.22,2.345,0
127,0,3899.14,62.5,62.55,110.98,2.85,25.65,26.76,28.315,21.025,-0.555,3.645,0
128,0,3906.64,62.28,62.91,89.98,2.3,24.8,27.83,26.595,23.225,-1.515,1.685,0
129,0,3929.13,61.81,63.02,101.98,2.6,26.215,28.175,26.43,22.38,-0.98,2.025,0
130,0,3893.14,62.53,62.53,104.98,2.7,27.245,25.895,26.425,22.805,0.675,1.81,0
131,0,3861.65,62.43,62.8,112.48,2.91,25.425,27.735,26.76,22.42,-1.155,2.17,0
132,0,3948.63,62.2,62.95,107.98,2.73,23.99,28.63,26.015,22.965,-2.32,1.525,0
133,0,3773.17,61.83,61.86,158.96,4.21,28.975,20.055,29.58,18.23,4.46,5.675,0
134,0,3804.66,62.11,62.2,191.96,5.05,27.485,20.315,27.95,19.85,3.585,4.05,0
135,0,3785.17,61.98,62.04,208.45,5.51,22.35,26.68,26.29,17.84,-2.165,4.225,0
136,0,3807.66,61.97,61.97,197.96,5.2,24.865,22.945,26.655,19.925,0.96,3.365,0
137,0,3807.66,62.07,62.55,187.46,4.92,24.325,24.715,25.065,21.515,-0.195,1.775,0
138,0,3797.16,61.69,61.51,163.46,4.3,25.915,24.345,29.245,19.785,0.785,4.73,0
139,0,3794.16,61.53,62.09,158.96,4.19,29.795,21.655,27.485,20.325,4.07,3.58,0
140,0,3800.16,61.77,61.68,212.95,5.6,23.525,25.495,24.6,20.76,-0.985,1.92,0
141,0,3792.66,61.54,62.05,146.97,3.88,25.91,23.12,29.005,21.245,1.395,3.88,0
142,0,3704.18,61.44,61.4,155.97,4.21,21.74,28.51,25.67,22.14,-3.385,1.765,0
143,0,3771.67,61.7,61.53,173.96,4.61,26.82,22.21,28.705,17.885,2.305,5.41,0
144,0,3812.16,61.84,61.96,151.47,3.97,28.53,21.72,25.45,22.23,3.405,1.61,0
145,0,3879.65,61.9,61.98,155.97,4.02,22.99,27.22,27.2,20.61,-2.115,3.295,0
146,0,3807.66,61.73,61.98,155.97,4.1,24.765,21.815,27.86,19.94,1.475,3.96,0
147,0,3828.66,62.08,62.43,133.47,3.49,22.37,27.88,26.345,23.905,-2.755,1.22,0
148,0,3800.16,61.72,61.9,157.47,4.14,27.95,22.3,27.73,20.08,2.825,3.825,0
149,0,3816.66,61.94,61.63,152.97,4.01,28.66,21.6,29.545,18.205,3.53,5.67,0
150,0,3758.17,61.89,61.86,134.97,3.59,22.695,28.755,25.48,23.55,-3.03,0.965,0
151,0,3812.16,61.72,62.13,143.97,3.78,25.35,24.91,28.915,20.115,0.22,4.4,0
152,0,3825.66,61.86,61.9,145.47,3.8,26.43,23.73,30,19.03,1.35,5.485,0
153,0,3891.64,62.07,62.16,155.97,4.01,26.865,23.395,27.08,20.71,1.735,3.185,0
154,0,3795.66,62.05,62.01,151.47,3.99,25.965,24.295,25.545,22.235,0.835,1.655,0
155,0,3816.66,61.84,61.88,125.97,3.3,29.77,20.48,30.1,20.15,4.645,4.975,0
156,0,3806.16,61.64,61.83,149.97,3.94,23.31,28.16,27.335,20.325,-2.425,3.505,0
157,0,3840.65,62.02,62.24,154.47,4.02,26.38,24.96,26.32,21.49,0.71,2.415,0
158,0,3839.15,62.36,62,139.47,3.63,26.99,24.42,30.3,18.48,1.285,5.91,0
159,0,3881.15,62.15,62.36,166.46,4.29,24.205,26.055,26.42,18.94,-0.925,3.74,0
160,0,3917.14,61.95,62.21,155.97,3.98,26.685,23.575,28.365,19.435,1.555,4.465,0
161,0,3830.16,62.16,62.24,119.97,3.13,28.5,22.98,25.31,24.94,2.76,0.185,0
162,0,3860.15,62,62.04,160.46,4.16,25.42,25.99,25.46,19.86,-0.285,2.8,0
163,0,3831.66,61.72,62.07,143.97,3.76,25.34,26.1,27.315,20.355,-0.38,3.48,0
164,0,3828.66,61.7,62.2,164.96,4.31,23.66,27.77,27.2,18.13,-2.055,4.535,0
165,0,3873.65,62.11,62.15,143.97,3.72,27.715,24.895,28.065,19.525,1.41,4.27,0
166,0,3843.65,62.11,61.97,134.97,3.51,25.015,26.425,26.535,21.265,-0.705,2.635,0
167,0,3854.15,62.14,62.21,122.97,3.19,22.59,28.85,27.255,21.765,-3.13,2.745,0
168,0,3839.15,61.81,62.1,139.47,3.63,28.015,23.235,29.14,18.67,2.39,5.235,0
169,0,3833.16,62.24,62.13,110.98,2.9,24.73,26.75,27.555,23.635,-1.01,1.96,0
170,0,3852.65,62.01,62.61,104.98,2.72,31.215,20.265,31.035,20.305,5.475,5.365,0
